account,Invoicing
project,Project
purchase,Purchase
purchase_compute_order,Computed Purchase Order
purchase_discount,Purchase order lines with discounts
purchase_package_qty,Purchase - Package Quantity
purchase_stock,Purchase Stock
queue_job,Job Queue
rating,Customer Rating
repair,Repairs
report_xlsx,Base report xlsx
report_xlsx_helper,Report xlsx helpers
resource,Resource
res_partner_account_move_line,Res Partner Account Move Line
sale,Sales
sale_management,Sales
sale_purchase,Sale Purchase
sales_team,Sales Teams
sale_stock,Sales and Warehouse Management
scheduler_error_mailer,Scheduler Error Mailer
sms,SMS gateway
snailmail,Snail Mail
snailmail_account,snailmail_account
social_media,social_media
stock,Inventory
stock_account,WMS Accounting
stock_inventory_preparation_filter,Extended Inventory Preparation Filters
stock_inventory_valuation_report,Stock Inventory Valuation Report
stock_scrap_origin,Stock Scrap Origin
stock_scrap_product_report,Scrap Report
theme_bootswatch,Bootswatch Theme
uom,Units of measure
utm,UTM Trackers
web,Web
web_diagram,Odoo Web Diagram
web_dialog_size,Web Dialog Size
web_editor,Web Editor
web_environment_ribbon,Web Environment Ribbon
web_export_view,Web Export Current View
web_export_xlsx,Web Export XLSX
web_favicon,Custom shortcut icon
web_kanban_gauge,Gauge Widget for Kanban
web_m2x_options,web_m2x_options
web_settings_dashboard,Odoo Settings Dashboard
web_sheet_full_width,Web Sheet Full Width
website,Website
website_category_publish,Website Category Publish
website_form,Generic Form Controller
website_form_project,Online Task Submission
website_links,Link Tracker
website_livechat,Website Live Chat
website_mail,Website Mail
website_mass_mailing,Newsletter Subscribe Button
website_payment,Website Payment
website_rating,Website Rating
website_sale,eCommerce
website_sale_category_description,eCommerce Category Descriptions
website_sale_checkout_skip_payment,Website Sale Checkout Skip Payment
website_sale_checkout_skip_payment_default,Skip Website Checkout Payment by Default
website_sale_delivery,eCommerce Delivery
website_sale_link_tracker,eCommerce Link Tracker
website_sale_management,Website - Sales Management
website_sale_product_sort,Website Sale Product Sort
website_sale_require_login,Require login to checkout
